tOAAm,xOAAm,yOAAm
6.40,-0.0629073,0.2780931
6.43,-0.0402707,0.2798344
6.47,-0.0298231,0.2798344
6.50,-0.0106691,0.2798344
6.53,0.0032611,0.2798344
6.57,0.0119674,0.2798344
6.60,0.0241563,0.2798344
6.63,0.0589818,0.2815757
6.67,0.0729120,0.2815757
6.70,0.1112199,0.2902820
6.73,0.1234088,0.2937646
6.77,0.1338565,0.2937646
6.80,0.1547517,0.2989884
6.83,0.1443041,0.2972471
6.87,0.1321152,0.2885407
6.90,0.1234088,0.2885407
6.93,0.1094787,0.2885407
6.97,0.1059961,0.2885407
7.00,0.0833596,0.2850582
7.03,0.0798770,0.2815757
7.07,0.0624643,0.2763518
7.10,0.0554992,0.2763518
7.13,0.0363452,0.2763518
7.17,0.0276389,0.2763518
7.20,0.0171913,0.2780931
7.23,-0.0158929,0.2885407
7.27,-0.0245993,0.2885407
7.30,-0.0367882,0.2867995
7.33,-0.0646485,0.2867995
7.37,-0.0820613,0.2885407
7.40,-0.0872851,0.2885407
7.43,-0.1099216,0.2937646
7.47,-0.1255931,0.2937646
7.50,-0.1377820,0.2989884
7.53,-0.1430058,0.3024709
7.57,-0.1499709,0.3076947
7.60,-0.1551947,0.3042122
7.63,-0.1621598,0.3007296
7.67,-0.1430058,0.2937646
7.70,-0.1325581,0.2937646
7.73,-0.1151454,0.2920233
7.77,-0.1081803,0.2885407
7.80,-0.0977327,0.2867995
7.83,-0.0820613,0.2833169
7.87,-0.0716136,0.2815757
7.90,-0.0524596,0.2815757
7.97,-0.0315644,0.2798344
8.00,0.0032611,0.2798344
8.03,0.0206738,0.2815757
8.07,0.0380865,0.2815757
8.10,0.0502754,0.2815757
8.13,0.0589818,0.2815757
8.17,0.0798770,0.2815757
8.20,0.0938072,0.2833169
8.23,0.1077374,0.2867995
8.27,0.1199263,0.2867995
8.30,0.1216676,0.2867995
8.33,0.1425628,0.2937646
8.37,0.1321152,0.2920233
8.40,0.1216676,0.2885407
8.43,0.1129612,0.2850582
8.47,0.1007723,0.2833169
8.50,0.0833596,0.2815757
8.53,0.0729120,0.2815757
8.57,0.0380865,0.2885407
8.60,0.0154500,0.2850582
8.63,-0.0037040,0.2850582
8.67,-0.0106691,0.2850582
8.70,-0.0245993,0.2850582
8.73,-0.0333056,0.2850582
8.77,-0.0420120,0.2850582
8.80,-0.0524596,0.2833169
8.83,-0.0663898,0.2815757
8.87,-0.0716136,0.2867995
8.90,-0.0890263,0.2867995
8.93,-0.1255931,0.2885407
8.97,-0.1360407,0.3007296
9.00,-0.1308169,0.3007296
9.03,-0.1464883,0.3024709
9.07,-0.1342994,0.3024709
9.10,-0.1203692,0.3007296
9.13,-0.1168867,0.2955058
9.17,-0.1168867,0.2955058
9.20,-0.1064391,0.2867995
9.23,-0.0994740,0.2850582
9.27,-0.0872851,0.2850582
9.30,-0.0820613,0.2850582
9.33,-0.0733549,0.2850582
9.37,-0.0576835,0.2833169
9.40,-0.0454945,0.2833169
9.43,-0.0402707,0.2833169
9.47,-0.0280818,0.2798344
9.50,0.0032611,0.2798344
9.53,0.0241563,0.2815757
9.57,0.0380865,0.2815757
9.60,0.0520167,0.2833169
9.67,0.0763945,0.2867995
9.70,0.0868421,0.2885407
9.73,0.0920659,0.2885407
9.77,0.0990310,0.2920233
9.80,0.1112199,0.2920233
9.83,0.1181850,0.2920233
9.87,0.1181850,0.2920233
9.90,0.1094787,0.2850582
9.93,0.1059961,0.2833169
9.97,0.0938072,0.2833169
10.00,0.0885834,0.2833169
10.03,0.0589818,0.2833169
10.07,0.0467929,0.2833169
10.10,0.0293802,0.2833169
10.13,0.0154500,0.2833169
10.17,0.0119674,0.2833169
10.20,0.0032611,0.2833169
10.23,-0.0019627,0.2833169
10.27,-0.0211167,0.2833169
10.30,-0.0280818,0.2833169
10.33,-0.0524596,0.2833169
10.40,-0.0646485,0.2850582
10.43,-0.0872851,0.2867995
10.47,-0.1012152,0.2902820
10.50,-0.1099216,0.2937646
10.53,-0.1151454,0.2937646
10.57,-0.1221105,0.2937646
10.60,-0.1168867,0.2920233
10.63,-0.1029565,0.2885407
10.67,-0.0959914,0.2885407
10.70,-0.0907676,0.2885407
10.73,-0.0750962,0.2885407
10.77,-0.0663898,0.2885407
10.80,-0.0611660,0.2885407
10.83,-0.0524596,0.2885407
